X,Y,Z                    Magnitude
2.64E-19,0.003335097694,0.03198759561355008      14.97057325580529
1.07E-19,0.006664288921,0.031909734177953945     10.816464987711138
-4.81E-20,0.006666508832,0.03190630555804427      10.818519989009612
-2.84E-20,0.003332594288,0.03199187419890297      14.97085049553485
6.01E-19,0.006668247965,0.02559008063350476      29.92275890350406
-2.85E-19,0.009998704355,0.025511036319235333     12.48857175555017
3.32E-19,0.01000013634,0.025508776862039062     12.49009994419611
-4.83E-20,0.006666508832,0.025593088741308247     29.92002083841482
8.51E-20,0.01000128847,0.019192562975505367     43.54753377236608
1.47E-19,0.01333272432,0.0191125914802975       11.518162825119921
8.07E-20,0.01333356088,0.019111248166033847     11.519936192581063
3.32E-19,0.01000013634,0.01919457523231179      43.54409199592365
1.81E-19,0.01333424848,0.012795043354078758     57.27446164222943
5.57E-20,0.01666646466,0.012714325546341759     16.374389264079714
3.86E-19,0.01666683661,0.012713719470028636     16.375755092795295
8.05E-20,0.01333356088,0.012796254020013284     57.27097065109888
4.83E-22,0.02,0.006316190774023429     29.087330371381245
2.07E-19,0.01666714774,0.006397522250315181     71.12522702991126
3.86E-19,0.01666683661,0.006398073791726522     71.1231246045337
6.01E-19,0.006668247965,0.03190627140752818      10.81936648081264
-2.84E-19,0.009998704355,0.03182722709325876      10.283084419375287
3.32E-19,0.01000013634,0.03182496763606248      10.28447796726966
-4.81E-20,0.006666508832,0.031909279515331665     10.817481351881996
8.49E-20,0.01000128847,0.025508753749528785     12.489800338075694
1.47E-19,0.01333272432,0.02542878225432093      14.896245530142824
8.08E-20,0.01333356088,0.025427438940057275     14.8966481295219
3.31E-19,0.01000013634,0.02551076600633521      12.48927059096934
1.81E-19,0.01333424848,0.01911123412810218      11.517590598205823
5.56E-20,0.01666646466,0.019030516320365183     14.720292101260727
3.86E-19,0.01666683661,0.019029910244052057     14.720142838169869
8.06E-20,0.01333356088,0.019112444794036704     11.517943120573255
7.44E-23,0.02,0.012632381548046846     13.591058952028717
2.07E-19,0.01666714774,0.0127137130243386       16.373781331328274
3.86E-19,0.01666683661,0.012714264565749941     16.373257315249663
8.51E-20,0.01000128847,0.0318249445235522       10.285053919971364
1.47E-19,0.01333272432,0.03174497302834435      18.190722214085806
8.06E-20,0.01333356088,0.03174362971408069      18.191491984661226
3.32E-19,0.01000013634,0.031826956780358635     10.284142764510733
1.81E-19,0.01333424848,0.025427424902125607     14.897739874542113
5.59E-20,0.01666646466,0.025346707094388608     27.382055285411376
3.86E-19,0.01666683661,0.025346101018075485     27.382668492224532
8.08E-20,0.01333356088,0.025428635568060135     14.896724187731074
0,0.02,0.018948572322070263     34.32797146198186
2.07E-19,0.01666714774,0.01902990379836202      14.720818360964257
3.85E-19,0.01666683661,0.01903045533977336      14.720836533235165
1.81E-19,0.01333424848,0.03174361567614902      18.192447180063144
5.59E-20,0.01666646466,0.031662897868412025     32.47129839677263
3.86E-19,0.01666683661,0.0316622917920989       32.47166542820053
8.07E-20,0.01333356088,0.03174482634208355      18.191954065597493
3.72E-22,0.02,0.02526476309609369      45.006361345503095
2.07E-19,0.01666714774,0.025346094572385448     27.383539487776236
3.86E-19,0.01666683661,0.025346646113796792     27.38261045100955
5.58E-22,0.02,0.03158095387011712      51.20701392552765
2.07E-19,0.01666714774,0.031662285346408865     32.47253690212067
3.86E-19,0.01666683661,0.031662836887820206     32.47225674707756
-2.84E-20,0.003332594288,0.03830383425404949      4.8142200541275155
-4.83E-20,0.006666508832,0.038222496332067694     6.617737394335219
3.32E-19,0.01000013634,0.038141158410085904     12.22632413472712
8.05E-20,0.01333356088,0.03805982048810411      20.5975842886689
3.86E-19,0.01666683661,0.037978482566122324     31.244120067740887
2.64E-19,0.003335097694,0.038303786387573494     4.81498498708179
6.01E-19,0.006668247965,0.038222462181551606     6.619000869117192
8.51E-20,0.01000128847,0.03814113529757563      12.227758273575633
1.81E-19,0.01333424848,0.03805980645017244      20.598904559457555
2.07E-19,0.01666714774,0.037978476120432286     31.244926987655226
1.49E-19,1.79E-06,0.03838510680654497      7.663613522867806
0,0.02,0                        113.31850076018524
0,0.02,0.037897144644140526     44.013368683975656
1.25E-19,0.003335097694,0.03198387860507613      30.175396735310642
-2.80E-20,0.003332594288,0.03198764348002607      30.18018187958951
1.96E-19,0.006668247964,0.02558742872026057      58.36742870978765
5.04E-20,0.006666508832,0.025590114784020852     58.35314791851573
5.53E-20,0.01000128846,0.019190768204213914     80.11732662295955
2.54E-19,0.01000013634,0.01919258608801564      80.10932180436333
-7.09E-21,0.01333424848,0.012793953257229042     97.44851275542086
3.72E-20,0.01333356088,0.012795057392010426     97.44453613611842
1.77E-19,0.01666714774,0.006397021718892417     112.83043698333665
-1.12E-19,0.01666683661,0.006397528696005217     112.82883068187486
1.49E-19,1.79E-06,0.03838003062391971      16.812105838468778
-1.23E-19,0.003332594387,0.031983358853266426     44.2374809667164
-6.86E-20,0.006666508851,0.025587102884060898     76.04415512751451
3.83E-19,0.01000013632,0.019190571540195427     100.528354412186
3.62E-20,0.01333356086,0.01279384546947594      121.53380284935488
-3.39E-21,0.0166668366,0.006396976628614525     143.10520055886212
-2.31E-19,0.003332742097,0.025590114784020852     19.648212454202962
-2.25E-19,0.003334744821,0.025587102884060894     19.652566313328503
-2.33E-19,0.003332742176,0.02558668708261314      19.67358659274616
-1.36E-20,0.006666548291,0.01919258608801564      37.11524291978637
-1.95E-19,0.00666785264,0.019190571540195427     37.12092998835159
2.54E-21,0.006666548305,0.019190327163045674     37.11894249584206
-4.09E-19,0.01000009089,0.012795057392010426     51.60251895312639
-5.42E-19,0.01000085898,0.01279384546947594      51.60570525885586
-4.80E-19,0.01000009088,0.012793714360130283     51.61390373022842
4.87E-19,0.01333344711,0.006397528696005214     66.70218510614377
5.67E-19,0.01333379091,0.006396976628614523     66.70369806731138
4.87E-19,0.01333344709,0.006396922734737973     66.71095419726008
-6.31E-20,0.003332889906,0.01919258608801564      69.3588198039518
-1.54E-19,0.003334391949,0.019190327163045674     69.349177172595
2.86E-20,0.003332889965,0.019190015311959855     69.39205155338828
-7.80E-20,0.00666658775,0.01279505739201043      115.79822252287481
-1.14E-19,0.006667457315,0.012793714360130288     115.81293839703547
7.30E-20,0.006666587759,0.012793551442030452     115.79186529250106
-1.27E-19,0.01000004545,0.006397528696005215     160.74126432670462
-9.12E-20,0.01000042949,0.006396922734737974     160.74705319272897
-3.99E-19,0.01000004544,0.006396857180065145     160.74413605227832
1.05E-19,0.003333037715,0.012795057392010426     153.49771542543795
3.37E-19,0.003334039077,0.012793551442030452     153.46550755956176
2.89E-19,0.003333037755,0.012793343541306571     153.52994834398282
2.79E-19,0.006666627208,0.006397528696005219     212.86912706402597
-3.22E-20,0.006667061991,0.006396857180065151     212.8837735177611
1.44E-19,0.006666627213,0.006396775721015233     212.87449486114792
-9.81E-20,0.003333185524,0.006397528696005216     274.2499688683178
-1.33E-20,0.003333686205,0.0063967757210152305    274.22507560862306
-1.91E-19,0.003333185544,0.006396671770653291     274.2714130202616
-1.07E-19,0.003334744988,0.025590114784020852     19.645883031567642
-3.24E-19,0.006667852764,0.01919258608801564      37.120911460512986
-5.40E-19,0.01000085906,0.012795057392010426     51.60761140804488
4.58E-19,0.01333379095,0.006397528696005214     66.70504308323319
-1.70E-19,0.003334392074,0.01919258608801564      69.34547625647441
-4.27E-20,0.006667457398,0.01279505739201043      115.8015522048455
-9.10E-20,0.01000042953,0.006397528696005215     160.7382832578076
1.86E-19,0.00333403916,0.012795057392010426     153.47186374579826
2.39E-19,0.006667062033,0.006397528696005219     212.88090121761158
1.22E-19,0.003333686247,0.006397528696005216     274.2197069614256
3.85E-20,1.49E-06,0.031983358853266426     10.61400062415531
-2.36E-19,1.49E-06,0.03198764348002607      10.627880196611974
-7.07E-20,1.19E-06,0.02558668708261314      75.57000157970934
-6.95E-20,1.19E-06,0.025590114784020852     75.54399363975764
-1.80E-19,8.96E-07,0.01919001531195986      181.52702135316486
-2.71E-19,8.96E-07,0.01919258608801564      181.4934949668595
8.07E-20,5.97E-07,0.012793343541306573     328.6750208273861
-1.04E-19,5.97E-07,0.012795057392010426     328.6427244482438
-2.84E-20,2.99E-07,0.006396671770653294     517.0841606775035
-3.06E-19,2.99E-07,0.006397528696005217     517.0627181303537
-5.78E-19,0.01666666667,6.925116567530014E-18    86.5965376254951
-1.16E-18,0.01333333333,1.0654025488507713E-18   199.53994045017737
-1.73E-18,0.01,0                        283.0068896930354
-2.31E-18,0.006666666667,5.327012744253856E-18    332.84063869438654
-2.89E-18,0.003333333333,7.990519116380784E-18    434.2624414493667
-3.47E-18,-3.47E-18,0                        746.7840056417406
2.34E-19,-0.003332110662,0.03198387860387618      29.106897873857385
-1.01E-19,-0.00333035179,0.025593543403930524     23.68790216300901
-1.02E-19,-0.003332355081,0.025590114784020852     23.674808289044304
-2.80E-20,-0.003329606904,0.03198764348002607      29.11249034402456
5.47E-19,-0.006665858309,0.025587428718733585     48.13423379050273
1.27E-21,-0.006664755636,0.01919484554557207      39.222176800491
-2.77E-19,-0.006666060335,0.01919258608801564      39.23152075291568
5.44E-20,-0.006664118926,0.025590114784020852     48.12314917465352
1.87E-19,-0.009999496206,0.019190768202815088     72.90824927252079
-3.49E-19,-0.009998895823,0.012796400706655985     45.6238671292525
-5.80E-19,-0.009999664105,0.012795057392010426     45.63033220881143
3.01E-19,-0.009998343909,0.01919258608801564      72.89882709150724
3.45E-19,-0.01333305363,0.012793953256196982     100.33471245104178
5.91E-19,-0.01333284958,0.006398134772551562     48.89548525029106
5.81E-19,-0.01333319347,0.006397528696005214     48.89825614216067
-2.54E-21,-0.01333236592,0.012795057392010426     100.32862812938048
-5.78E-19,-0.01666666667,6.925116567530014E-18    58.86962437995889
-3.92E-20,-0.01666655031,0.0063970217183484425    130.254510454097
1.03E-20,-0.01666623913,0.006397528696005217     130.25153465885776
-3.07E-19,-0.003332355197,0.02558710288310094      23.68149429255237
3.41E-20,-0.003331097176,0.019195157552947893     71.01792311209842
-1.68E-19,-0.003332599644,0.01919258608801564      71.02531728866072
-2.31E-19,-0.00333035219,0.025590114784020852     23.674718621088488
-4.04E-19,-0.006666060399,0.019190571539050193     39.23243205838201
7.21E-20,-0.006665392646,0.012796563697048045     115.88299521382187
-1.10E-20,-0.006666262446,0.01279505739201043      115.88844370929614
-1.08E-20,-0.006664755861,0.01919258608801564      39.227192539966914
-4.54E-19,-0.009999664137,0.01279384546854339      45.626055366313075
-9.73E-20,-0.009999447912,0.006398200353327993     152.69229769988232
-3.72E-19,-0.009999832053,0.006397528696005215     152.6941866459973
-3.77E-19,-0.009998895939,0.012795057392010426     45.624474870937966
-1.16E-18,-0.01333333333,1.0654025488507713E-18   179.47624434068265
4.56E-19,-0.01333319348,0.006396976628098493     48.893847706225905
2.06E-19,-0.01333284963,0.006397528696005214     48.89334665577999
-4.87E-21,-0.003332599731,0.01919032716232571      71.02901850471957
1.69E-19,-0.003331842562,0.01279677170196526      153.71723794604335
1.88E-19,-0.003332844207,0.012795057392010426     153.714004884389
-6.31E-20,-0.003331097476,0.01919258608801564      71.03790384008724
6.17E-20,-0.006666262488,0.0127937143593668       115.90000916229829
1.43E-19,-0.006666029656,0.006398281848524026     211.7020393677051
2.55E-19,-0.006666464556,0.006397528696005219     211.71053436312184
-7.62E-20,-0.006665392796,0.01279505739201043      115.88546422518405
-1.73E-18,-0.01,0                        274.3825518049206
-4.73E-20,-0.009999832069,0.006396922734271698     152.702899543965
-1.12E-19,-0.00999944797,0.006397528696005215     152.69808143909273
2.96E-19,-0.003332844265,0.012793551441550472     153.70764853407647
-6.58E-20,-0.003332587948,0.00639838585098263      274.0453870435498
1.23E-19,-0.00333308877,0.006397528696005216     274.0312754704293
1.05E-19,-0.003331842762,0.012795057392010426     153.73978329154485
-2.31E-18,-0.006666666667,5.327012744253856E-18    331.3031586121574
5.55E-20,-0.006666464577,0.006396857179683405     211.71337966733253
2.80E-19,-0.006666029731,0.006397528696005219     211.69886162211426
-2.89E-18,-0.003333333333,7.990519116380784E-18    434.157513116516
